artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,0.8,0.463,0.257
code,25,reformatted,5,0.8,0.526,0.25
code,25,truncated,5,1.0,0.398,0.312
code,25,verbatim,5,1.0,0.744,0.4
code,50,paraphrased,5,1.0,0.666,0.355
code,50,reformatted,5,1.0,0.901,0.833
code,50,truncated,5,1.0,0.799,0.581
code,50,verbatim,5,1.0,0.98,0.91
code,100,paraphrased,5,1.0,0.765,0.474
code,100,reformatted,5,1.0,0.96,0.884
code,100,truncated,5,1.0,0.988,0.939
code,100,verbatim,5,1.0,0.998,0.988
code,200,paraphrased,5,1.0,0.793,0.675
code,200,reformatted,5,1.0,1.0,1.0
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.888,0.737
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,1.0,0.527,0.302
prose,25,reformatted,5,1.0,0.795,0.325
prose,25,truncated,5,0.8,0.715,0.275
prose,25,verbatim,5,1.0,0.92,0.8
prose,50,paraphrased,5,1.0,0.603,0.382
prose,50,reformatted,5,1.0,0.816,0.575
prose,50,truncated,5,1.0,0.928,0.675
prose,50,verbatim,5,1.0,0.989,0.957
prose,100,paraphrased,5,1.0,0.722,0.6
prose,100,reformatted,5,1.0,0.986,0.954
prose,100,truncated,5,1.0,1.0,1.0
prose,100,verbatim,5,1.0,1.0,1.0
prose,200,paraphrased,5,1.0,0.949,0.8
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,paraphrased,5,1.0,0.993,0.966
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,0.6,0.461,0.264
structured,25,reformatted,5,1.0,0.611,0.3
structured,25,truncated,5,0.8,0.359,0.267
structured,25,verbatim,5,1.0,0.539,0.364
structured,50,paraphrased,5,1.0,0.741,0.457
structured,50,reformatted,5,1.0,0.987,0.936
structured,50,truncated,5,1.0,0.776,0.586
structured,50,verbatim,5,1.0,0.922,0.75
structured,100,paraphrased,5,1.0,0.774,0.525
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.964,0.835
structured,100,verbatim,5,1.0,0.992,0.962
structured,200,paraphrased,5,1.0,0.837,0.631
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.846,0.612
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,1.0,0.658,0.356
terse,25,reformatted,5,1.0,0.72,0.493
terse,25,truncated,5,1.0,0.661,0.561
terse,25,verbatim,5,1.0,0.616,0.319
terse,50,paraphrased,5,1.0,0.744,0.57
terse,50,reformatted,5,1.0,0.948,0.889
terse,50,truncated,5,1.0,0.974,0.913
terse,50,verbatim,5,1.0,0.997,0.987
terse,100,paraphrased,5,1.0,0.974,0.925
terse,100,reformatted,5,1.0,0.99,0.95
terse,100,truncated,5,1.0,1.0,1.0
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.934,0.818
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.983,0.917
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
